x;y;u;v;column;row
0.0000;0.0000;-0.0004;0.0010;0;0
0.0345;0.0000;0.0342;0.0007;1;0
0.0690;0.0000;0.0687;0.0005;2;0
0.1034;0.0000;0.1032;0.0004;3;0
0.1379;0.0000;0.1377;0.0002;4;0
0.1724;0.0000;0.1722;0.0001;5;0
0.2069;0.0000;0.2066;0.0000;6;0
0.2414;0.0000;0.2411;-0.0000;7;0
0.2759;0.0000;0.2756;-0.0001;8;0
0.3103;0.0000;0.3101;-0.0001;9;0
0.3448;0.0000;0.3446;-0.0002;10;0
0.3793;0.0000;0.3791;-0.0002;11;0
0.4138;0.0000;0.4136;-0.0002;12;0
0.4483;0.0000;0.4482;-0.0002;13;0
0.4828;0.0000;0.4827;-0.0002;14;0
0.5172;0.0000;0.5172;-0.0002;15;0
0.5517;0.0000;0.5518;-0.0002;16;0
0.5862;0.0000;0.5863;-0.0001;17;0
0.6207;0.0000;0.6208;-0.0001;18;0
0.6552;0.0000;0.6553;-0.0000;19;0
0.6897;0.0000;0.6898;0.0000;20;0
0.7241;0.0000;0.7243;0.0001;21;0
0.7586;0.0000;0.7588;0.0002;22;0
0.7931;0.0000;0.7932;0.0004;23;0
0.8276;0.0000;0.8276;0.0006;24;0
0.8621;0.0000;0.8620;0.0008;25;0
0.8966;0.0000;0.8964;0.0010;26;0
0.9310;0.0000;0.9307;0.0014;27;0
0.9655;0.0000;0.9649;0.0017;28;0
1.0000;0.0000;0.9992;0.0022;29;0
0.0000;0.0526;-0.0002;0.0533;0;1
0.0345;0.0526;0.0343;0.0531;1;1
0.0690;0.0526;0.0688;0.0530;2;1
0.1034;0.0526;0.1033;0.0528;3;1
0.1379;0.0526;0.1378;0.0527;4;1
0.1724;0.0526;0.1722;0.0527;5;1
0.2069;0.0526;0.2067;0.0526;6;1
0.2414;0.0526;0.2412;0.0526;7;1
0.2759;0.0526;0.2757;0.0525;8;1
0.3103;0.0526;0.3102;0.0525;9;1
0.3448;0.0526;0.3447;0.0525;10;1
0.3793;0.0526;0.3792;0.0525;11;1
0.4138;0.0526;0.4137;0.0525;12;1
0.4483;0.0526;0.4482;0.0525;13;1
0.4828;0.0526;0.4827;0.0525;14;1
0.5172;0.0526;0.5173;0.0525;15;1
0.5517;0.0526;0.5518;0.0525;16;1
0.5862;0.0526;0.5863;0.0525;17;1
0.6207;0.0526;0.6208;0.0525;18;1
0.6552;0.0526;0.6553;0.0526;19;1
0.6897;0.0526;0.6898;0.0526;20;1
0.7241;0.0526;0.7243;0.0527;21;1
0.7586;0.0526;0.7588;0.0527;22;1
0.7931;0.0526;0.7933;0.0528;23;1
0.8276;0.0526;0.8277;0.0530;24;1
0.8621;0.0526;0.8621;0.0531;25;1
0.8966;0.0526;0.8964;0.0533;26;1
0.9310;0.0526;0.9308;0.0536;27;1
0.9655;0.0526;0.9651;0.0539;28;1
1.0000;0.0526;0.9993;0.0543;29;1
0.0000;0.1053;-0.0001;0.1057;0;2
0.0345;0.1053;0.0344;0.1056;1;2
0.0690;0.1053;0.0689;0.1055;2;2
0.1034;0.1053;0.1034;0.1054;3;2
0.1379;0.1053;0.1378;0.1053;4;2
0.1724;0.1053;0.1723;0.1053;5;2
0.2069;0.1053;0.2068;0.1052;6;2
0.2414;0.1053;0.2413;0.1052;7;2
0.2759;0.1053;0.2757;0.1052;8;2
0.3103;0.1053;0.3102;0.1052;9;2
0.3448;0.1053;0.3447;0.1052;10;2
0.3793;0.1053;0.3792;0.1052;11;2
0.4138;0.1053;0.4137;0.1052;12;2
0.4483;0.1053;0.4482;0.1052;13;2
0.4828;0.1053;0.4828;0.1052;14;2
0.5172;0.1053;0.5173;0.1052;15;2
0.5517;0.1053;0.5518;0.1052;16;2
0.5862;0.1053;0.5863;0.1052;17;2
0.6207;0.1053;0.6208;0.1052;18;2
0.6552;0.1053;0.6553;0.1052;19;2
0.6897;0.1053;0.6898;0.1052;20;2
0.7241;0.1053;0.7243;0.1053;21;2
0.7586;0.1053;0.7588;0.1053;22;2
0.7931;0.1053;0.7933;0.1054;23;2
0.8276;0.1053;0.8277;0.1055;24;2
0.8621;0.1053;0.8621;0.1056;25;2
0.8966;0.1053;0.8965;0.1057;26;2
0.9310;0.1053;0.9308;0.1059;27;2
0.9655;0.1053;0.9651;0.1062;28;2
1.0000;0.1053;0.9994;0.1065;29;2
0.0000;0.1579;-0.0001;0.1582;0;3
0.0345;0.1579;0.0344;0.1581;1;3
0.0690;0.1579;0.0689;0.1580;2;3
0.1034;0.1579;0.1034;0.1580;3;3
0.1379;0.1579;0.1379;0.1579;4;3
0.1724;0.1579;0.1724;0.1579;5;3
0.2069;0.1579;0.2068;0.1579;6;3
0.2414;0.1579;0.2413;0.1579;7;3
0.2759;0.1579;0.2758;0.1579;8;3
0.3103;0.1579;0.3103;0.1579;9;3
0.3448;0.1579;0.3447;0.1579;10;3
0.3793;0.1579;0.3792;0.1579;11;3
0.4138;0.1579;0.4137;0.1579;12;3
0.4483;0.1579;0.4482;0.1579;13;3
0.4828;0.1579;0.4828;0.1579;14;3
0.5172;0.1579;0.5173;0.1579;15;3
0.5517;0.1579;0.5518;0.1579;16;3
0.5862;0.1579;0.5863;0.1579;17;3
0.6207;0.1579;0.6208;0.1579;18;3
0.6552;0.1579;0.6553;0.1579;19;3
0.6897;0.1579;0.6898;0.1579;20;3
0.7241;0.1579;0.7243;0.1579;21;3
0.7586;0.1579;0.7588;0.1579;22;3
0.7931;0.1579;0.7933;0.1579;23;3
0.8276;0.1579;0.8277;0.1580;24;3
0.8621;0.1579;0.8621;0.1581;25;3
0.8966;0.1579;0.8965;0.1582;26;3
0.9310;0.1579;0.9309;0.1584;27;3
0.9655;0.1579;0.9652;0.1586;28;3
1.0000;0.1579;0.9995;0.1588;29;3
0.0000;0.2105;-0.0000;0.2108;0;4
0.0345;0.2105;0.0345;0.2107;1;4
0.0690;0.2105;0.0690;0.2106;2;4
0.1034;0.2105;0.1035;0.2106;3;4
0.1379;0.2105;0.1379;0.2106;4;4
0.1724;0.2105;0.1724;0.2105;5;4
0.2069;0.2105;0.2069;0.2105;6;4
0.2414;0.2105;0.2413;0.2105;7;4
0.2759;0.2105;0.2758;0.2105;8;4
0.3103;0.2105;0.3103;0.2106;9;4
0.3448;0.2105;0.3448;0.2106;10;4
0.3793;0.2105;0.3793;0.2106;11;4
0.4138;0.2105;0.4138;0.2106;12;4
0.4483;0.2105;0.4483;0.2106;13;4
0.4828;0.2105;0.4828;0.2106;14;4
0.5172;0.2105;0.5173;0.2106;15;4
0.5517;0.2105;0.5518;0.2106;16;4
0.5862;0.2105;0.5863;0.2106;17;4
0.6207;0.2105;0.6208;0.2106;18;4
0.6552;0.2105;0.6553;0.2105;19;4
0.6897;0.2105;0.6898;0.2105;20;4
0.7241;0.2105;0.7243;0.2105;21;4
0.7586;0.2105;0.7588;0.2105;22;4
0.7931;0.2105;0.7932;0.2105;23;4
0.8276;0.2105;0.8277;0.2106;24;4
0.8621;0.2105;0.8621;0.2106;25;4
0.8966;0.2105;0.8965;0.2107;26;4
0.9310;0.2105;0.9309;0.2108;27;4
0.9655;0.2105;0.9652;0.2110;28;4
1.0000;0.2105;0.9995;0.2112;29;4
0.0000;0.2632;0.0000;0.2634;0;5
0.0345;0.2632;0.0345;0.2633;1;5
0.0690;0.2632;0.0690;0.2632;2;5
0.1034;0.2632;0.1035;0.2632;3;5
0.1379;0.2632;0.1380;0.2632;4;5
0.1724;0.2632;0.1724;0.2632;5;5
0.2069;0.2632;0.2069;0.2632;6;5
0.2414;0.2632;0.2414;0.2632;7;5
0.2759;0.2632;0.2758;0.2632;8;5
0.3103;0.2632;0.3103;0.2632;9;5
0.3448;0.2632;0.3448;0.2632;10;5
0.3793;0.2632;0.3793;0.2632;11;5
0.4138;0.2632;0.4138;0.2633;12;5
0.4483;0.2632;0.4483;0.2633;13;5
0.4828;0.2632;0.4828;0.2633;14;5
0.5172;0.2632;0.5173;0.2633;15;5
0.5517;0.2632;0.5518;0.2632;16;5
0.5862;0.2632;0.5863;0.2632;17;5
0.6207;0.2632;0.6208;0.2632;18;5
0.6552;0.2632;0.6553;0.2632;19;5
0.6897;0.2632;0.6898;0.2632;20;5
0.7241;0.2632;0.7243;0.2632;21;5
0.7586;0.2632;0.7587;0.2632;22;5
0.7931;0.2632;0.7932;0.2632;23;5
0.8276;0.2632;0.8277;0.2632;24;5
0.8621;0.2632;0.8621;0.2632;25;5
0.8966;0.2632;0.8965;0.2633;26;5
0.9310;0.2632;0.9309;0.2634;27;5
0.9655;0.2632;0.9653;0.2635;28;5
1.0000;0.2632;0.9996;0.2637;29;5
0.0000;0.3158;0.0001;0.3160;0;6
0.0345;0.3158;0.0346;0.3159;1;6
0.0690;0.3158;0.0691;0.3159;2;6
0.1034;0.3158;0.1035;0.3158;3;6
