x;y;u;v;column;row
0.0000;0.0000;0.0014;0.0032;0;0
0.0345;0.0000;0.0355;0.0028;1;0
0.0690;0.0000;0.0698;0.0024;2;0
0.1034;0.0000;0.1040;0.0020;3;0
0.1379;0.0000;0.1383;0.0017;4;0
0.1724;0.0000;0.1726;0.0013;5;0
0.2069;0.0000;0.2069;0.0010;6;0
0.2414;0.0000;0.2412;0.0008;7;0
0.2759;0.0000;0.2756;0.0006;8;0
0.3103;0.0000;0.3099;0.0004;9;0
0.3448;0.0000;0.3443;0.0003;10;0
0.3793;0.0000;0.3787;0.0002;11;0
0.4138;0.0000;0.4131;0.0002;12;0
0.4483;0.0000;0.4475;0.0003;13;0
0.4828;0.0000;0.4819;0.0003;14;0
0.5172;0.0000;0.5162;0.0004;15;0
0.5517;0.0000;0.5506;0.0006;16;0
0.5862;0.0000;0.5850;0.0008;17;0
0.6207;0.0000;0.6194;0.0011;18;0
0.6552;0.0000;0.6537;0.0014;19;0
0.6897;0.0000;0.6881;0.0017;20;0
0.7241;0.0000;0.7225;0.0021;21;0
0.7586;0.0000;0.7568;0.0026;22;0
0.7931;0.0000;0.7911;0.0032;23;0
0.8276;0.0000;0.8255;0.0039;24;0
0.8621;0.0000;0.8598;0.0047;25;0
0.8966;0.0000;0.8941;0.0056;26;0
0.9310;0.0000;0.9285;0.0067;27;0
0.9655;0.0000;0.9628;0.0080;28;0
1.0000;0.0000;0.9971;0.0096;29;0
0.0000;0.0526;0.0011;0.0545;0;1
0.0345;0.0526;0.0354;0.0543;1;1
0.0690;0.0526;0.0696;0.0540;2;1
0.1034;0.0526;0.1039;0.0537;3;1
0.1379;0.0526;0.1382;0.0535;4;1
0.1724;0.0526;0.1726;0.0533;5;1
0.2069;0.0526;0.2069;0.0531;6;1
0.2414;0.0526;0.2413;0.0529;7;1
0.2759;0.0526;0.2757;0.0528;8;1
0.3103;0.0526;0.3101;0.0527;9;1
0.3448;0.0526;0.3445;0.0526;10;1
0.3793;0.0526;0.3789;0.0526;11;1
0.4138;0.0526;0.4134;0.0526;12;1
0.4483;0.0526;0.4478;0.0526;13;1
0.4828;0.0526;0.4822;0.0527;14;1
0.5172;0.0526;0.5167;0.0528;15;1
0.5517;0.0526;0.5511;0.0529;16;1
0.5862;0.0526;0.5855;0.0530;17;1
0.6207;0.0526;0.6200;0.0532;18;1
0.6552;0.0526;0.6544;0.0534;19;1
0.6897;0.0526;0.6888;0.0537;20;1
0.7241;0.0526;0.7232;0.0540;21;1
0.7586;0.0526;0.7576;0.0543;22;1
0.7931;0.0526;0.7920;0.0547;23;1
0.8276;0.0526;0.8264;0.0552;24;1
0.8621;0.0526;0.8608;0.0558;25;1
0.8966;0.0526;0.8952;0.0565;26;1
0.9310;0.0526;0.9296;0.0574;27;1
0.9655;0.0526;0.9640;0.0585;28;1
1.0000;0.0526;0.9984;0.0597;29;1
0.0000;0.1053;0.0009;0.1062;0;2
0.0345;0.1053;0.0352;0.1061;1;2
0.0690;0.1053;0.0695;0.1059;2;2
0.1034;0.1053;0.1038;0.1058;3;2
0.1379;0.1053;0.1381;0.1056;4;2
0.1724;0.1053;0.1725;0.1055;5;2
0.2069;0.1053;0.2069;0.1054;6;2
0.2414;0.1053;0.2413;0.1053;7;2
0.2759;0.1053;0.2757;0.1052;8;2
0.3103;0.1053;0.3102;0.1051;9;2
0.3448;0.1053;0.3446;0.1051;10;2
0.3793;0.1053;0.3791;0.1051;11;2
0.4138;0.1053;0.4135;0.1051;12;2
0.4483;0.1053;0.4480;0.1051;13;2
0.4828;0.1053;0.4825;0.1052;14;2
0.5172;0.1053;0.5169;0.1053;15;2
0.5517;0.1053;0.5514;0.1053;16;2
0.5862;0.1053;0.5859;0.1055;17;2
0.6207;0.1053;0.6203;0.1056;18;2
0.6552;0.1053;0.6548;0.1057;19;2
0.6897;0.1053;0.6892;0.1059;20;2
0.7241;0.1053;0.7237;0.1061;21;2
0.7586;0.1053;0.7581;0.1063;22;2
0.7931;0.1053;0.7926;0.1066;23;2
0.8276;0.1053;0.8270;0.1070;24;2
0.8621;0.1053;0.8615;0.1074;25;2
0.8966;0.1053;0.8959;0.1079;26;2
0.9310;0.1053;0.9304;0.1086;27;2
0.9655;0.1053;0.9648;0.1094;28;2
1.0000;0.1053;0.9993;0.1104;29;2
0.0000;0.1579;0.0007;0.1582;0;3
0.0345;0.1579;0.0350;0.1582;1;3
0.0690;0.1579;0.0693;0.1581;2;3
0.1034;0.1579;0.1037;0.1581;3;3
0.1379;0.1579;0.1380;0.1580;4;3
0.1724;0.1579;0.1724;0.1579;5;3
0.2069;0.1579;0.2068;0.1578;6;3
0.2414;0.1579;0.2413;0.1578;7;3
0.2759;0.1579;0.2757;0.1577;8;3
0.3103;0.1579;0.3102;0.1577;9;3
0.3448;0.1579;0.3447;0.1577;10;3
0.3793;0.1579;0.3791;0.1577;11;3
0.4138;0.1579;0.4136;0.1577;12;3
0.4483;0.1579;0.4481;0.1578;13;3
0.4828;0.1579;0.4826;0.1578;14;3
0.5172;0.1579;0.5171;0.1579;15;3
0.5517;0.1579;0.5516;0.1580;16;3
0.5862;0.1579;0.5861;0.1580;17;3
0.6207;0.1579;0.6206;0.1581;18;3
0.6552;0.1579;0.6550;0.1582;19;3
0.6897;0.1579;0.6895;0.1583;20;3
0.7241;0.1579;0.7240;0.1584;21;3
0.7586;0.1579;0.7585;0.1586;22;3
0.7931;0.1579;0.7930;0.1587;23;3
0.8276;0.1579;0.8274;0.1590;24;3
0.8621;0.1579;0.8619;0.1593;25;3
0.8966;0.1579;0.8964;0.1597;26;3
0.9310;0.1579;0.9309;0.1602;27;3
0.9655;0.1579;0.9654;0.1608;28;3
1.0000;0.1579;0.9999;0.1616;29;3
0.0000;0.2105;0.0005;0.2104;0;4
0.0345;0.2105;0.0348;0.2105;1;4
0.0690;0.2105;0.0692;0.2105;2;4
0.1034;0.2105;0.1035;0.2105;3;4
0.1379;0.2105;0.1379;0.2105;4;4
0.1724;0.2105;0.1724;0.2104;5;4
0.2069;0.2105;0.2068;0.2104;6;4
0.2414;0.2105;0.2412;0.2104;7;4
0.2759;0.2105;0.2757;0.2104;8;4
0.3103;0.2105;0.3102;0.2104;9;4
0.3448;0.2105;0.3447;0.2104;10;4
0.3793;0.2105;0.3792;0.2104;11;4
0.4138;0.2105;0.4137;0.2104;12;4
0.4483;0.2105;0.4482;0.2105;13;4
0.4828;0.2105;0.4827;0.2105;14;4
0.5172;0.2105;0.5172;0.2106;15;4
0.5517;0.2105;0.5517;0.2106;16;4
0.5862;0.2105;0.5862;0.2107;17;4
0.6207;0.2105;0.6207;0.2107;18;4
0.6552;0.2105;0.6552;0.2108;19;4
0.6897;0.2105;0.6897;0.2108;20;4
0.7241;0.2105;0.7242;0.2109;21;4
0.7586;0.2105;0.7587;0.2109;22;4
0.7931;0.2105;0.7932;0.2110;23;4
0.8276;0.2105;0.8277;0.2112;24;4
0.8621;0.2105;0.8622;0.2114;25;4
0.8966;0.2105;0.8967;0.2117;26;4
0.9310;0.2105;0.9312;0.2120;27;4
0.9655;0.2105;0.9657;0.2125;28;4
1.0000;0.2105;1.0002;0.2132;29;4
0.0000;0.2632;0.0003;0.2628;0;5
0.0345;0.2632;0.0347;0.2629;1;5
0.0690;0.2632;0.0691;0.2630;2;5
0.1034;0.2632;0.1035;0.2630;3;5
0.1379;0.2632;0.1379;0.2630;4;5
0.1724;0.2632;0.1723;0.2630;5;5
0.2069;0.2632;0.2068;0.2630;6;5
0.2414;0.2632;0.2412;0.2630;7;5
0.2759;0.2632;0.2757;0.2631;8;5
0.3103;0.2632;0.3102;0.2631;9;5
0.3448;0.2632;0.3447;0.2631;10;5
0.3793;0.2632;0.3792;0.2631;11;5
0.4138;0.2632;0.4137;0.2632;12;5
0.4483;0.2632;0.4482;0.2632;13;5
0.4828;0.2632;0.4827;0.2632;14;5
0.5172;0.2632;0.5172;0.2633;15;5
0.5517;0.2632;0.5517;0.2633;16;5
0.5862;0.2632;0.5862;0.2633;17;5
0.6207;0.2632;0.6207;0.2633;18;5
0.6552;0.2632;0.6553;0.2634;19;5
0.6897;0.2632;0.6898;0.2634;20;5
0.7241;0.2632;0.7243;0.2634;21;5
0.7586;0.2632;0.7588;0.2634;22;5
0.7931;0.2632;0.7933;0.2635;23;5
0.8276;0.2632;0.8278;0.2635;24;5
0.8621;0.2632;0.8623;0.2637;25;5
0.8966;0.2632;0.8968;0.2638;26;5
0.9310;0.2632;0.9313;0.2641;27;5
0.9655;0.2632;0.9659;0.2645;28;5
1.0000;0.2632;1.0004;0.2650;29;5
0.0000;0.3158;0.0002;0.3153;0;6
0.0345;0.3158;0.0346;0.3155;1;6
0.0690;0.3158;0.0690;0.3156;2;6
0.1034;0.3158;0.1034;0.3156;3;6
0.1379;0.3158;0.1378;0.3157;4;6
0.1724;0.3158;0.1723;0.3157;5;6
0.2069;0.3158;0.2067;0.3157;6;6
0.2414;0.3158;0.2412;0.3157;7;6
0.2759;0.3158;0.2757;0.3157;8;6
0.3103;0.3158;0.3102;0.3158;9;6
0.3448;0.3158;0.3447;0.3158;10;6
0.3793;0.3158;0.3792;0.3158;11;6
0.4138;0.3158;0.4137;0.3159;12;6
0.4483;0.3158;0.4482;0.3159;13;6
0.4828;0.3158;0.4827;0.3159;14;6
0.5172;0.3158;0.5172;0.3160;15;6
0.5517;0.3158;0.5517;0.3160;16;6
0.5862;0.3158;0.5862;0.3160;17;6
0.6207;0.3158;0.6208;0.3160;18;6
0.6552;0.3158;0.6553;0.3160;19;6
0.6897;0.3158;0.6898;0.3160;20;6
0.7241;0.3158;0.7243;0.3160;21;6
0.7586;0.3158;0.7588;0.3160;22;6
0.7931;0.3158;0.7933;0.3160;23;6
0.8276;0.3158;0.8278;0.3160;24;6
0.8621;0.3158;0.8623;0.3161;25;6
0.8966;0.3158;0.8968;0.3162;26;6
0.9310;0.3158;0.9314;0.3164;27;6
0.9655;0.3158;0.9659;0.3167;28;6
1.0000;0.3158;1.0005;0.3171;29;6
0.0000;0.3684;0.0002;0.3679;0;7
0.0345;0.3684;0.0345;0.3681;1;7
0.0690;0.3684;0.0690;0.3682;2;7
0.1034;0.3684;0.1034;0.3683;3;7
0.1379;0.3684;0.1378;0.3683;4;7
0.1724;0.3684;0.1723;0.3683;5;7
0.2069;0.3684;0.2067;0.3684;6;7
0.2414;0.3684;0.2412;0.3684;7;7
0.2759;0.3684;0.2757;0.3684;8;7
0.3103;0.3684;0.3102;0.3684;9;7
0.3448;0.3684;0.3447;0.3684;10;7
0.3793;0.3684;0.3792;0.3685;11;7
0.4138;0.3684;0.4137;0.3685;12;7
0.4483;0.3684;0.4482;0.3685;13;7
0.4828;0.3684;0.4827;0.3686;14;7
0.5172;0.3684;0.5172;0.3686;15;7
0.5517;0.3684;0.5517;0.3686;16;7
0.5862;0.3684;0.5862;0.3686;17;7
0.6207;0.3684;0.6208;0.3686;18;7
0.6552;0.3684;0.6553;0.3686;19;7
0.6897;0.3684;0.6898;0.3686;20;7
0.7241;0.3684;0.7243;0.3686;21;7
0.7586;0.3684;0.7588;0.3685;22;7
0.7931;0.3684;0.7933;0.3685;23;7
0.8276;0.3684;0.8278;0.3685;24;7
